1_usercol	2_usercol	3_usercol	4_pct_at	5_pct_gc	6_num_A	7_num_C	8_num_G	9_num_T	10_num_N	11_num_oth	12_seq_len
NC_065570.1	3150000	3200000	0.673160	0.326840	15906	8156	8186	17752	0	0	50000
NC_065570.1	3200000	3250000	0.706180	0.293820	17601	7281	7410	17708	0	0	50000
NC_065570.1	3250000	3300000	0.667140	0.332860	16323	8187	8456	17034	0	0	50000
NC_065570.1	3300000	3350000	0.676040	0.323960	17469	8149	8049	16333	0	0	50000
NC_065570.1	3350000	3400000	0.680860	0.319140	16799	7458	8499	17244	0	0	50000
NC_065570.1	3400000	3450000	0.674100	0.325900	15952	8200	8095	17753	0	0	50000
NC_065570.1	3450000	3500000	0.697060	0.302940	17718	7547	7600	17135	0	0	50000
NC_065570.1	3500000	3550000	0.680700	0.319300	16739	7791	8174	17296	0	0	50000
NC_065570.1	3550000	3600000	0.694320	0.305680	17072	7462	7822	17644	0	0	50000
NC_065570.1	3600000	3650000	0.673220	0.326780	16105	8020	8319	17556	0	0	50000
NC_065570.1	3650000	3700000	0.698700	0.301300	17604	7547	7518	17331	0	0	50000
NC_065570.1	3700000	3750000	0.657960	0.342040	16343	8496	8606	16555	0	0	50000
NC_065570.1	3750000	3800000	0.684120	0.315880	17106	7983	7811	17100	0	0	50000
NC_065570.1	3800000	3850000	0.644000	0.356000	16940	8834	8966	15260	0	0	50000
NC_065570.1	3850000	3900000	0.614280	0.385720	15734	9761	9525	14980	0	0	50000
NC_065570.1	3900000	3950000	0.656460	0.343540	16539	8558	8619	16284	0	0	50000
NC_065570.1	3950000	4000000	0.678240	0.321760	16606	7935	8153	17306	0	0	50000
NC_065570.1	4000000	4050000	0.684180	0.315820	17960	8053	7738	16249	0	0	50000
NC_065570.1	4050000	4100000	0.658600	0.341400	17518	7975	9095	15412	0	0	50000
NC_065570.1	4100000	4150000	0.699240	0.300760	17650	7460	7578	17312	0	0	50000
NC_065570.1	4150000	4200000	0.640820	0.359180	15589	8376	9583	16452	0	0	50000
NC_065570.1	4200000	4250000	0.705540	0.294460	17890	7064	7659	17387	0	0	50000
NC_065570.1	4250000	4300000	0.679740	0.320260	18071	8048	7965	15916	0	0	50000
NC_065570.1	4300000	4350000	0.701140	0.298860	18087	6991	7952	16970	0	0	50000
NC_065570.1	4350000	4400000	0.716320	0.283680	18233	6978	7206	17583	0	0	50000
NC_065570.1	4400000	4450000	0.674500	0.325500	17039	8334	7941	16686	0	0	50000
NC_065570.1	4450000	4500000	0.686580	0.313420	17615	7945	7726	16714	0	0	50000
NC_065570.1	4500000	4550000	0.677120	0.322880	15933	7760	8384	17923	0	0	50000
NC_065570.1	4550000	4600000	0.671860	0.328140	17165	8024	8383	16428	0	0	50000
NC_065570.1	4600000	4650000	0.642880	0.357120	16712	8619	9237	15432	0	0	50000
NC_065570.1	4650000	4700000	0.667680	0.332320	16649	8294	8322	16735	0	0	50000
NC_065570.1	4700000	4750000	0.664300	0.335700	17036	8503	8282	16179	0	0	50000
NC_065570.1	4750000	4800000	0.652160	0.347840	16933	8594	8798	15675	0	0	50000
NC_065570.1	4800000	4850000	0.686520	0.313480	16711	7804	7870	17615	0	0	50000
NC_065570.1	4850000	4900000	0.692280	0.307720	17003	7654	7732	17611	0	0	50000
NC_065570.1	4900000	4950000	0.656280	0.343720	15803	8476	8710	17011	0	0	50000
NC_065570.1	4950000	5000000	0.674440	0.325560	16353	8228	8050	17369	0	0	50000
NC_065570.1	5000000	5050000	0.655680	0.344320	16175	8734	8482	16609	0	0	50000
NC_065570.1	5050000	5100000	0.653280	0.346720	17152	8651	8685	15512	0	0	50000
NC_065570.1	5100000	5150000	0.668820	0.331180	16990	8182	8377	16451	0	0	50000
NC_065570.1	5150000	5200000	0.676740	0.323260	16872	7886	8277	16965	0	0	50000
NC_065570.1	5200000	5250000	0.658660	0.341340	15608	8669	8398	17325	0	0	50000
NC_065570.1	5250000	5300000	0.664520	0.335480	16891	8132	8642	16335	0	0	50000
NC_065570.1	5300000	5350000	0.670640	0.329360	16932	8376	8092	16600	0	0	50000
NC_065570.1	5350000	5400000	0.668160	0.331840	16260	7819	8773	17148	0	0	50000
NC_065570.1	5400000	5450000	0.667840	0.332160	16555	8557	8051	16837	0	0	50000
NC_065570.1	5450000	5500000	0.676980	0.323020	16531	7999	8152	17318	0	0	50000
NC_065570.1	5500000	5550000	0.705060	0.294940	17716	7651	7096	17537	0	0	50000
NC_065570.1	5550000	5600000	0.674080	0.325920	16264	8026	8270	17440	0	0	50000
NC_065570.1	5600000	5650000	0.689560	0.310440	17257	7682	7840	17221	0	0	50000
NC_065570.1	5650000	5700000	0.712360	0.287640	17440	7055	7327	18178	0	0	50000
NC_065570.1	5700000	5750000	0.661200	0.338800	17066	8557	8383	15994	0	0	50000
NC_065570.1	5750000	5800000	0.666980	0.333020	15802	8276	8375	17547	0	0	50000
NC_065570.1	5800000	5850000	0.685160	0.314840	17233	7697	8045	17025	0	0	50000
NC_065570.1	5850000	5900000	0.659980	0.340020	16826	8650	8351	16173	0	0	50000
NC_065570.1	5900000	5950000	0.683620	0.316380	17545	7844	7975	16636	0	0	50000
NC_065570.1	5950000	6000000	0.687500	0.312500	16606	7916	7709	17769	0	0	50000
NC_065570.1	6000000	6050000	0.669240	0.330760	17200	8540	7998	16262	0	0	50000
NC_065570.1	6050000	6100000	0.681040	0.318960	16962	8357	7591	17090	0	0	50000
NC_065570.1	6100000	6150000	0.662940	0.337060	15820	9194	7659	17327	0	0	50000
NC_065570.1	6150000	6200000	0.685820	0.314180	17042	7957	7752	17249	0	0	50000
NC_065570.1	6200000	6250000	0.682000	0.318000	17637	8342	7558	16463	0	0	50000
NC_065570.1	6250000	6300000	0.690840	0.309160	17495	7659	7799	17047	0	0	50000
NC_065570.1	6300000	6350000	0.647640	0.352360	15450	9566	8052	16932	0	0	50000
NC_065570.1	6350000	6400000	0.713360	0.286640	17951	7290	7042	17717	0	0	50000
NC_065570.1	6400000	6450000	0.666780	0.333220	16631	8625	8036	16708	0	0	50000
NC_065570.1	6450000	6500000	0.670520	0.329480	16825	8102	8372	16701	0	0	50000
NC_065570.1	6500000	6550000	0.693240	0.306760	17496	7683	7655	17166	0	0	50000
NC_065570.1	6550000	6600000	0.667660	0.332340	16975	8532	8085	16408	0	0	50000
NC_065570.1	6600000	6650000	0.636780	0.363220	16233	10487	7674	15606	0	0	50000
NC_065570.1	6650000	6700000	0.684120	0.315880	16848	8309	7485	17358	0	0	50000
NC_065570.1	6700000	6750000	0.703400	0.296600	17849	7448	7382	17321	0	0	50000
NC_065570.1	6750000	6800000	0.720300	0.279700	18245	6961	7024	17770	0	0	50000
NC_065570.1	6800000	6850000	0.693460	0.306540	16926	7551	7776	17747	0	0	50000
NC_065570.1	6850000	6900000	0.676220	0.323780	16309	8330	7859	17502	0	0	50000
NC_065570.1	6900000	6950000	0.652980	0.347020	15865	9178	8173	16784	0	0	50000
NC_065570.1	6950000	7000000	0.673020	0.326980	16648	7998	8351	17003	0	0	50000
NC_065570.1	7000000	7050000	0.716560	0.283440	17841	6976	7196	17987	0	0	50000
NC_065570.1	7050000	7100000	0.694260	0.305740	17247	7845	7442	17466	0	0	50000
NC_065570.1	7100000	7150000	0.677860	0.322140	16659	7787	8320	17234	0	0	50000
NC_065570.1	7150000	7200000	0.646140	0.353860	16438	8428	9265	15869	0	0	50000
NC_065570.1	7200000	7250000	0.686060	0.313940	16422	8241	7456	17881	0	0	50000
NC_065570.1	7250000	7300000	0.656380	0.343620	16072	8695	8486	16747	0	0	50000
NC_065570.1	7300000	7350000	0.679680	0.320320	17264	8226	7790	16720	0	0	50000
NC_065570.1	7350000	7400000	0.642180	0.357820	16096	8993	8898	16013	0	0	50000
NC_065570.1	7400000	7450000	0.672640	0.327360	17137	8223	8145	16495	0	0	50000
NC_065570.1	7450000	7500000	0.683140	0.316860	16696	7913	7930	17461	0	0	50000
NC_065570.1	7500000	7550000	0.701020	0.298980	17366	7453	7496	17685	0	0	50000
NC_065570.1	7550000	7600000	0.673420	0.326580	17027	8176	8153	16644	0	0	50000
NC_065570.1	7600000	7650000	0.675400	0.324600	16461	8556	7674	17309	0	0	50000
NC_065570.1	7650000	7700000	0.682860	0.317140	16908	8215	7642	17235	0	0	50000
NC_065570.1	7700000	7750000	0.691840	0.308160	17424	7923	7485	17168	0	0	50000
NC_065570.1	7750000	7800000	0.663600	0.336400	16454	8495	8325	16726	0	0	50000
NC_065570.1	7800000	7850000	0.663600	0.336400	16723	8117	8703	16457	0	0	50000
NC_065570.1	7850000	7900000	0.660540	0.339460	16405	8488	8485	16622	0	0	50000
NC_065570.1	7900000	7950000	0.687640	0.312360	16994	7742	7876	17388	0	0	50000
NC_065570.1	7950000	8000000	0.657060	0.342940	16097	8442	8705	16756	0	0	50000
NC_065570.1	8000000	8050000	0.681240	0.318760	16546	7787	8151	17516	0	0	50000
NC_065570.1	8050000	8100000	0.688280	0.311720	16201	7316	8270	18213	0	0	50000
NC_065570.1	8100000	8150000	0.675020	0.324980	17214	8290	7959	16537	0	0	50000
NC_065570.1	8150000	8200000	0.689400	0.310600	17436	7442	8088	17034	0	0	50000
NC_065570.1	8200000	8250000	0.672480	0.327520	16466	8560	7816	17158	0	0	50000
NC_065570.1	8250000	8300000	0.670920	0.329080	18042	8411	8043	15504	0	0	50000
NC_065570.1	8300000	8350000	0.672820	0.327180	16364	7488	8871	17277	0	0	50000
NC_065570.1	8350000	8400000	0.667820	0.332180	17008	8222	8387	16383	0	0	50000
NC_065570.1	8400000	8450000	0.677020	0.322980	16525	7788	8361	17326	0	0	50000
NC_065570.1	8450000	8500000	0.676780	0.323220	16297	7693	8468	17542	0	0	50000
NC_065570.1	8500000	8550000	0.674620	0.325380	16446	8152	8117	17285	0	0	50000
NC_065570.1	8550000	8600000	0.673180	0.326820	17013	8078	8263	16646	0	0	50000
NC_065570.1	8600000	8650000	0.686780	0.313220	17372	7898	7763	16967	0	0	50000
NC_065570.1	8650000	8700000	0.705440	0.294560	18087	7757	6971	17185	0	0	50000
NC_065570.1	8700000	8750000	0.681580	0.318420	16939	7487	8434	17140	0	0	50000
NC_065570.1	8750000	8800000	0.672340	0.327660	16656	8356	8027	16961	0	0	50000
NC_065570.1	8800000	8850000	0.648200	0.351800	15827	8139	9451	16583	0	0	50000
NC_065570.1	8850000	8900000	0.709540	0.290460	18003	7086	7437	17474	0	0	50000
NC_065570.1	8900000	8950000	0.699940	0.296060	17277	7303	7500	17720	200	0	50000
NC_065570.1	8950000	9000000	0.648240	0.351760	15381	9289	8299	17031	0	0	50000
NC_065570.1	9000000	9050000	0.664280	0.335720	16906	8508	8278	16308	0	0	50000
NC_065570.1	9050000	9100000	0.641160	0.358840	16842	8986	8956	15216	0	0	50000
NC_065570.1	9100000	9150000	0.653760	0.346240	16236	8589	8723	16452	0	0	50000
NC_065570.1	9150000	9200000	0.688740	0.311260	17302	8165	7398	17135	0	0	50000
NC_065570.1	9200000	9250000	0.683760	0.316240	17012	7851	7961	17176	0	0	50000
NC_065570.1	9250000	9300000	0.687800	0.312200	17276	7613	7997	17114	0	0	50000
NC_065570.1	9300000	9350000	0.660380	0.339620	16954	9084	7897	16065	0	0	50000
NC_065570.1	9350000	9400000	0.648680	0.351320	16381	9338	8228	16053	0	0	50000
NC_065570.1	9400000	9450000	0.677740	0.322260	17656	8163	7950	16231	0	0	50000
NC_065570.1	9450000	9500000	0.667020	0.332980	16902	8196	8453	16449	0	0	50000
NC_065570.1	9500000	9550000	0.680800	0.319200	16882	7618	8342	17158	0	0	50000
NC_065570.1	9550000	9600000	0.636280	0.363720	16023	9018	9168	15791	0	0	50000
NC_065570.1	9600000	9650000	0.674360	0.325640	16639	7931	8351	17079	0	0	50000
NC_065570.1	9650000	9700000	0.689380	0.310620	18015	7607	7924	16454	0	0	50000
NC_065570.1	9700000	9750000	0.690800	0.309200	17490	7663	7797	17050	0	0	50000
NC_065570.1	9750000	9800000	0.672560	0.327440	16892	8297	8075	16736	0	0	50000
NC_065570.1	9800000	9850000	0.632020	0.367980	16020	9126	9273	15581	0	0	50000
NC_065570.1	9850000	9900000	0.689360	0.310640	17464	7789	7743	17004	0	0	50000
NC_065570.1	9900000	9950000	0.693560	0.306440	17847	7666	7656	16831	0	0	50000
NC_065570.1	9950000	10000000	0.704160	0.295840	17852	7563	7229	17356	0	0	50000
NC_065570.1	10000000	10050000	0.652800	0.347200	16360	8259	9101	16280	0	0	50000
NC_065570.1	10050000	10100000	0.683320	0.316680	16919	7872	7962	17247	0	0	50000
NC_065570.1	10100000	10150000	0.667620	0.332380	16803	8577	8042	16578	0	0	50000
NC_065570.1	10150000	10200000	0.669960	0.330040	16933	8215	8287	16565	0	0	50000
NC_065570.1	10200000	10250000	0.667640	0.332360	15900	8252	8366	17482	0	0	50000
NC_065570.1	10250000	10300000	0.677900	0.322100	16991	8314	7791	16904	0	0	50000
NC_065570.1	10300000	10350000	0.667320	0.332680	16756	8153	8481	16610	0	0	50000
NC_065570.1	10350000	10400000	0.641340	0.358660	16047	8877	9056	16020	0	0	50000
NC_065570.1	10400000	10450000	0.620400	0.379600	14810	9361	9619	16210	0	0	50000
NC_065570.1	10450000	10500000	0.684360	0.315640	16499	7758	8024	17719	0	0	50000
NC_065570.1	10500000	10550000	0.678920	0.321080	17263	8375	7679	16683	0	0	50000
NC_065570.1	10550000	10600000	0.665080	0.334920	16622	8041	8705	16632	0	0	50000
NC_065570.1	10600000	10650000	0.691180	0.308820	18208	7935	7506	16351	0	0	50000
NC_065570.1	10650000	10700000	0.665360	0.334640	16265	8295	8437	17003	0	0	50000
NC_065570.1	10700000	10750000	0.692800	0.307200	16883	7949	7411	17757	0	0	50000
NC_065570.1	10750000	10800000	0.650860	0.349140	15794	8584	8873	16749	0	0	50000
NC_065570.1	10800000	10850000	0.682360	0.317640	18002	7770	8112	16116	0	0	50000
NC_065570.1	10850000	10900000	0.660660	0.339340	17741	8977	7990	15292	0	0	50000
NC_065570.1	10900000	10950000	0.666820	0.333180	16550	8209	8450	16791	0	0	50000
NC_065570.1	10950000	11000000	0.656860	0.343140	16848	8208	8949	15995	0	0	50000
NC_065570.1	11000000	11050000	0.660600	0.339400	16293	8653	8317	16737	0	0	50000
NC_065570.1	11050000	11100000	0.674180	0.325820	17675	8156	8135	16034	0	0	50000
NC_065570.1	11100000	11150000	0.646800	0.353200	16165	8314	9346	16175	0	0	50000
NC_065570.1	11150000	11200000	0.660260	0.339740	16679	8066	8921	16334	0	0	50000
NC_065570.1	11200000	11250000	0.662320	0.337680	15956	7893	8991	17160	0	0	50000
NC_065570.1	11250000	11300000	0.688160	0.311840	16892	7646	7946	17516	0	0	50000
NC_065570.1	11300000	11350000	0.654980	0.345020	16598	8509	8742	16151	0	0	50000
NC_065570.1	11350000	11400000	0.677880	0.322120	16209	7920	8186	17685	0	0	50000
NC_065570.1	11400000	11450000	0.673860	0.326140	17023	8206	8101	16670	0	0	50000
NC_065570.1	11450000	11500000	0.680980	0.319020	17241	8106	7845	16808	0	0	50000
NC_065570.1	11500000	11550000	0.666240	0.333760	16998	9021	7667	16314	0	0	50000
NC_065570.1	11550000	11600000	0.695880	0.304120	17000	7556	7650	17794	0	0	50000
NC_065570.1	11600000	11650000	0.657660	0.342340	16783	8876	8241	16100	0	0	50000
NC_065570.1	11650000	11700000	0.673020	0.326980	16446	7577	8772	17205	0	0	50000
NC_065570.1	11700000	11750000	0.670760	0.329240	17878	8730	7732	15660	0	0	50000
NC_065570.1	11750000	11800000	0.673140	0.326860	17531	8226	8117	16126	0	0	50000
NC_065570.1	11800000	11850000	0.670960	0.329040	16698	8254	8198	16850	0	0	50000
NC_065570.1	11850000	11900000	0.681700	0.318300	17003	7912	8003	17082	0	0	50000
NC_065570.1	11900000	11950000	0.663660	0.336340	16601	8052	8765	16582	0	0	50000
NC_065570.1	11950000	12000000	0.652920	0.347080	15992	7885	9469	16654	0	0	50000
NC_065570.1	12000000	12050000	0.680160	0.319840	17619	7624	8368	16389	0	0	50000
NC_065570.1	12050000	12100000	0.681340	0.318660	17224	8008	7925	16843	0	0	50000
NC_065570.1	12100000	12150000	0.637220	0.362780	15359	8128	10011	16502	0	0	50000
NC_065570.1	12150000	12200000	0.664800	0.335200	16713	8319	8441	16527	0	0	50000
NC_065570.1	12200000	12250000	0.649540	0.350460	15458	9394	8129	17019	0	0	50000
NC_065570.1	12250000	12300000	0.668700	0.331300	16470	8322	8243	16965	0	0	50000
NC_065570.1	12300000	12350000	0.639840	0.360160	16585	8886	9122	15407	0	0	50000
NC_065570.1	12350000	12400000	0.657840	0.342160	16882	8874	8234	16010	0	0	50000
NC_065570.1	12400000	12450000	0.680400	0.319600	17347	7670	8310	16673	0	0	50000
NC_065570.1	12450000	12500000	0.657200	0.342800	15623	8693	8447	17237	0	0	50000
NC_065570.1	12500000	12550000	0.653560	0.346440	16019	8634	8688	16659	0	0	50000
NC_065570.1	12550000	12600000	0.675200	0.324800	16534	9165	7075	17226	0	0	50000
NC_065570.1	12600000	12650000	0.684280	0.315720	17239	7444	8342	16975	0	0	50000
NC_065570.1	12650000	12700000	0.650040	0.349960	16201	8828	8670	16301	0	0	50000
NC_065570.1	12700000	12750000	0.663000	0.337000	16843	8596	8254	16307	0	0	50000
NC_065570.1	12750000	12800000	0.673000	0.327000	17223	8445	7905	16427	0	0	50000
NC_065570.1	12800000	12850000	0.674100	0.325900	16668	7709	8586	17037	0	0	50000
NC_065570.1	12850000	12900000	0.663820	0.336180	15991	8002	8807	17200	0	0	50000
NC_065570.1	12900000	12950000	0.694400	0.305600	16864	7192	8088	17856	0	0	50000
NC_065570.1	12950000	13000000	0.670560	0.329440	17434	8239	8233	16094	0	0	50000
NC_065570.1	13000000	13050000	0.655680	0.344320	15826	8164	9052	16958	0	0	50000
NC_065570.1	13050000	13100000	0.668460	0.331540	16625	8457	8120	16798	0	0	50000
NC_065570.1	13100000	13150000	0.608020	0.391980	15410	9481	10118	14991	0	0	50000
NC_065570.1	13150000	13200000	0.650400	0.349600	16262	8764	8716	16258	0	0	50000
NC_065570.1	13200000	13250000	0.670120	0.329880	17162	8537	7957	16344	0	0	50000
NC_065570.1	13250000	13300000	0.649760	0.350240	14879	8882	8630	17609	0	0	50000
NC_065570.1	13300000	13350000	0.649620	0.350380	16581	8228	9291	15900	0	0	50000
NC_065570.1	13350000	13400000	0.694520	0.305480	17839	7888	7386	16887	0	0	50000
NC_065570.1	13400000	13450000	0.645680	0.354320	16673	9406	8310	15611	0	0	50000
NC_065570.1	13450000	13500000	0.660260	0.339740	15657	9137	7850	17356	0	0	50000
NC_065570.1	13500000	13550000	0.689220	0.310780	16488	7742	7797	17973	0	0	50000
NC_065570.1	13550000	13600000	0.621360	0.378640	15514	9142	9790	15554	0	0	50000
NC_065570.1	13600000	13650000	0.628580	0.371420	15338	9217	9354	16091	0	0	50000
NC_065570.1	13650000	13700000	0.643020	0.356980	15437	9333	8516	16714	0	0	50000
NC_065570.1	13700000	13750000	0.688540	0.311460	17984	8248	7325	16443	0	0	50000
NC_065570.1	13750000	13800000	0.642160	0.357840	16427	8202	9690	15681	0	0	50000
NC_065570.1	13800000	13850000	0.623220	0.376780	14546	9530	9309	16615	0	0	50000
NC_065570.1	13850000	13900000	0.653420	0.346580	16925	8737	8592	15746	0	0	50000
NC_065570.1	13900000	13950000	0.666140	0.333860	16726	8912	7781	16581	0	0	50000
NC_065570.1	13950000	14000000	0.677740	0.322260	17707	8379	7734	16180	0	0	50000
NC_065570.1	14000000	14050000	0.652640	0.347360	16668	8394	8974	15964	0	0	50000
NC_065570.1	14050000	14100000	0.643500	0.356500	16894	9237	8588	15281	0	0	50000
NC_065570.1	14100000	14150000	0.609020	0.390980	16816	9908	9641	13635	0	0	50000
NC_065570.1	14150000	14200000	0.624040	0.375960	16674	9187	9611	14528	0	0	50000
NC_065570.1	14200000	14250000	0.650240	0.349760	15214	8722	8766	17298	0	0	50000
NC_065570.1	14250000	14300000	0.620860	0.379140	14268	9562	9395	16775	0	0	50000
NC_065570.1	14300000	14350000	0.654300	0.345700	16828	8502	8783	15887	0	0	50000
NC_065570.1	14350000	14400000	0.686640	0.313360	17465	7516	8152	16867	0	0	50000
NC_065570.1	14400000	14450000	0.668400	0.331600	17072	8203	8377	16348	0	0	50000
NC_065570.1	14450000	14500000	0.643940	0.356060	17077	8578	9225	15120	0	0	50000
NC_065570.1	14500000	14550000	0.649620	0.350380	16725	8015	9504	15756	0	0	50000
NC_065570.1	14550000	14600000	0.659100	0.340900	15659	7935	9110	17296	0	0	50000
NC_065570.1	14600000	14650000	0.652040	0.347960	16712	8575	8823	15890	0	0	50000
NC_065570.1	14650000	14700000	0.643060	0.356940	17636	9430	8417	14517	0	0	50000
NC_065570.1	14700000	14750000	0.615140	0.384860	16213	9665	9578	14544	0	0	50000
NC_065570.1	14750000	14800000	0.666500	0.333500	16372	8508	8167	16953	0	0	50000
NC_065570.1	14800000	14850000	0.653020	0.346980	16639	8856	8493	16012	0	0	50000
NC_065570.1	14850000	14900000	0.662620	0.337380	16140	8234	8635	16991	0	0	50000
NC_065570.1	14900000	14950000	0.629560	0.370440	15548	8986	9536	15930	0	0	50000
NC_065570.1	14950000	15000000	0.647360	0.352640	16206	8656	8976	16162	0	0	50000
NC_065570.1	15000000	15050000	0.641880	0.358120	17364	9735	8171	14730	0	0	50000
NC_065570.1	15050000	15100000	0.647540	0.352460	16409	7781	9842	15968	0	0	50000
NC_065570.1	15100000	15150000	0.628880	0.371120	16008	9521	9035	15436	0	0	50000
NC_065570.1	15150000	15200000	0.655180	0.344820	16572	9163	8078	16187	0	0	50000
NC_065570.1	15200000	15250000	0.658020	0.341980	15933	8758	8341	16968	0	0	50000
NC_065570.1	15250000	15300000	0.646020	0.353980	16059	9328	8371	16242	0	0	50000
NC_065570.1	15300000	15350000	0.645300	0.354700	16370	8932	8803	15895	0	0	50000
NC_065570.1	15350000	15400000	0.646940	0.353060	16275	8753	8900	16072	0	0	50000
